"artist","artistIds","asciiName","attractionLights","availability","boosterTypes","borderColor","cardParts","colorIdentity","colorIndicator","colors","defense","duelDeck","edhrecRank","edhrecSaltiness","faceConvertedManaCost","faceFlavorName","faceManaValue","faceName","finishes","flavorName","flavorText","frameEffects","frameVersion","hand","hasAlternativeDeckLimit","hasContentWarning","hasFoil","hasNonFoil","isAlternative","isFullArt","isFunny","isOnlineOnly","isOversized","isPromo","isRebalanced","isReprint","isReserved","isStarter","isStorySpotlight","isTextless","isTimeshifted","keywords","language","layout","leadershipSkills","life","loyalty","manaCost","manaValue","name","number","originalPrintings","originalReleaseDate","originalText","originalType","otherFaceIds","power","printings","promoTypes","rarity","rebalancedPrintings","relatedCards","securityStamp","setCode","side","signature","subsets","subtypes","supertypes","text","toughness","type","types","uuid","variations","watermark","GreenMana","BlackMana","BlueMana","WhiteMana","RedMana","GreenBlackMana","GreenBlueMana","GreenWhiteMana","GreenRedMana","BlackBlueMana","BlackWhiteMana","BlackRedMana","BlueWhiteMana","BlueRedMana","WhiteRedMana","GreenPhyrexian","BlackPhyrexian","BluePhyrexian","WhitePhyrexian","RedPhyrexian","GreenWhitePhyrexian","GreenRedPhyrexian","WhiteRedPhyrexian","GreenTwo","BlackTwo","BlueTwo","WhiteTwo","RedTwo","ColourlessMana","ManaDiscrep"
"Richard Kane Ferguson","191620ed-2361-444e-96a6-1fe7ce32ef3b","","","mtgo, paper","default","black","","G","","G",NA,"",19588,0.21,NA,"",NA,"","nonfoil, foil","","Its venom induces a fever that causes its victims to relive the attack in recurring, haunting visions.","","2003",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{1}{G}{G}",3,"Glass Asp","197","","","Whenever Glass Asp deals combat damage to a player, that player loses 2 life at the beginning of his or her next draw step unless he or she pays {2} before that step.","Creature - Snake","","2","TSP","","common","","","","TSP","","","","Snake","","Whenever Glass Asp deals combat damage to a player, that player loses 2 life at the beginning of their next draw step unless they pay {2} before that step.","1","Creature — Snake","Creature","9c1ae99b-888d-551e-98e5-10839545454b","","",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"Tomasz Jedruszek","bba69285-2445-4a4b-a847-59397be972ea","","","arena, mtgo, paper","default","black","","U","","U",NA,"",13269,0.16,NA,"",NA,"","nonfoil, foil","","","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mill","English","normal","",NA,"","{2}{U}",3,"Glacial Grasp","59","","","Tap target creature. Its controller mills two cards. That creature doesn't untap during its controller's next untap step. (They put the top two cards of their library into their graveyard.)\nDraw a card.","Instant","","","ZNR","","common","","","","ZNR","","","","","","Tap target creature. Its controller mills two cards. That creature doesn't untap during its controller's next untap step. (They put the top two cards of their library into their graveyard.)\nDraw a card.","","Instant","Instant","89d1d1d2-f69b-54df-b18d-f4ace7c72acd","","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
"Chippy","a36f01a0-e51a-48b2-a556-b9b3bc73f969","","","mtgo, paper","default","black","","U","","U",NA,"",310,0.48,NA,"",NA,"","nonfoil, foil","","""My flesh holds no secrets, monster. The spirit of Mirrodin will fight on.""\n—Vy Covalt, Mirran resistance","","2003",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{U/P}",1,"Gitaxian Probe","35","","","({PU} can be paid with either {U} or 2 life.)\nLook at target player's hand.\nDraw a card.","Sorcery","","","F12, NPH, PLIST, PRM","","common","","","","NPH","","","","","","({U/P} can be paid with either {U} or 2 life.)\nLook at target player's hand.\nDraw a card.","","Sorcery","Sorcery","46575881-efb3-5df5-93aa-2ed44b7852da","","phyrexian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
"Howard Lyon","6dd06426-59fe-4b9c-aad5-6da8446a5c3d","","","mtgo, paper","default","black","","U","","U",NA,"",19760,NA,NA,"",NA,"","nonfoil, foil","","Korrigans, spirits bound to sources of water, shriek when they come upon their own drowned corpses.","","2003",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conspire","English","normal","",NA,"","{2}{U}",3,"Ghastly Discovery","39","","","Draw two cards, then discard a card.\nConspire (As you play this spell, you may tap two untapped creatures you control that share a color with it. When you do, copy it.)","Sorcery","","","SHM","","common","","","","SHM","","","","","","Draw two cards, then discard a card.\nConspire (As you cast this spell, you may tap two untapped creatures you control that share a color with it. When you do, copy it.)","","Sorcery","Sorcery","aa1ca3f0-d2d0-57fc-b394-328aebde6198","","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
"Milivoj Ćeran","1eced451-4da5-42bc-b49d-70c41246581f","","","arena","","black","","G","","G",NA,"",8683,NA,NA,"",NA,"","nonfoil","","","","2015",NA,NA,NA,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,"","English","normal","",NA,"","{2}{G}",3,"Generous Stray","95","","","When Generous Stray enters the battlefield, draw a card.","Creature — Cat","","1","ANB, GRN","","common","","","","ANB","","","","Cat","","When Generous Stray enters the battlefield, draw a card.","2","Creature — Cat","Creature","5ae97426-172e-5922-b682-4fcb10a15e69","","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
"Olena Richards","fad4282c-49d1-4b5b-be1d-713369fc8bc8","","","mtgo, paper","default","black","","U","","U",NA,"",4478,0.11,NA,"",NA,"","nonfoil, foil","","Necro-alchemists gained popular support during the Travails, when geist-fueled weapons helped defend towns against mad cultists and Eldrazi monstrosities.","inverted","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{1}{U}",2,"Geistwave","56","","","","","","","DBL, MID","","common","","","","DBL","","","","","","Return target nonland permanent to its owner's hand. If you controlled that permanent, draw a card.","","Instant","Instant","51af7811-84d9-51ac-be83-3e895eb8910d","","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"Mike Bierek","e5f52ef5-1a2e-4128-90b0-ccc71cd47ea7","","","mtgo, paper","default","black","","U","","U",NA,"",13412,0.14,NA,"",NA,"","nonfoil, foil","","Strong wings make strong winds.","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{2}{U}",3,"Galestrike","70","","","Return target tapped creature to its owner's hand.\nDraw a card.","Instant","","","AKH, CMR, GN2","","common","","","","CMR","","","","","","Return target tapped creature to its owner's hand.\nDraw a card.","","Instant","Instant","e3592670-2fe3-55dc-a534-b30fd46e1f21","","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
"Marcela Bolívar","67731ea1-cd04-455a-aae7-04ca8fd2f873","","","arena, mtgo, paper","default","black","","U","","U",NA,"",22159,NA,NA,"",NA,"","nonfoil, foil","","Where had she first seen that symbol? She usually took such detailed notes, but her memory of it was like a fading nightmare.","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vigilance","English","normal","",NA,"","{2}{U}",3,"Furtive Analyst","59","","","Vigilance\n{2}, {T}: Draw a card, then discard a card.","Creature — Human Wizard","","1","MOM","","common","","","","MOM","","","","Human, Wizard","","Vigilance\n{2}, {T}: Draw a card, then discard a card.","4","Creature — Human Wizard","Creature","d29e2736-9775-5925-8cd0-063b9c2f8377","","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
"Milivoj Ćeran","1eced451-4da5-42bc-b49d-70c41246581f","","","arena","default","black","","G","","G",NA,"",15428,NA,NA,"",NA,"","nonfoil","","","","2015",NA,NA,NA,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,"Investigate, Morbid, Reach","English","normal","",NA,"","{4}{G}",5,"Funnel-Web Recluse","573","","","","","","3","J21, MH2","","common","","","","J21","","","","Spider","","Reach\nMorbid — When Funnel-Web Recluse enters the battlefield, if a creature died this turn, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")","5","Creature — Spider","Creature","9aa33503-e3aa-5457-b5c8-2e150fbee4ce","","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA
"Johan Grenier","465e38b8-7eed-4d22-a6d2-d3603ee0c00b","","","arena, mtgo, paper","default","black","","U","","U",NA,"",15417,0.09,NA,"",NA,"","nonfoil, foil","","Hunters' methods vary from simple and brutal to elaborate and brutal.","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cycling","English","normal","",NA,"","{3}{U}{U}",5,"Frostveil Ambush","52","","","Tap up to two target creatures. Those creatures don't untap during their controller's next untap step.\nCycling {1} ({1}, Discard this card: Draw a card.)","Instant","","","IKO","","common","","","","IKO","","","","","","Tap up to two target creatures. Those creatures don't untap during their controller's next untap step.\nCycling {1} ({1}, Discard this card: Draw a card.)","","Instant","Instant","0adc8631-644f-58b7-acaf-8648e1a1305d","","",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA
"Volkan Baǵa","93bec3c0-0260-4d31-8064-5d01efb4153f","","","mtgo, paper","default","black","","U","","U",NA,"",13161,NA,NA,"",NA,"","nonfoil, foil","","The battle was won in the commander's head before the first weapon was drawn.","","2003",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exalted","English","normal","",NA,"","{2}{U}",3,"Frontline Sage","28","","","Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)\n{U}, {T}: Draw a card, then discard a card.","Creature - Human Wizard","","0","CON","","common","","","","CON","","","","Human, Wizard","","Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)\n{U}, {T}: Draw a card, then discard a card.","1","Creature — Human Wizard","Creature","33ca8028-3847-5d59-b522-01676fce3204","","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
"Phil Foglio","3bfc0fd7-f6ce-4c3f-a755-aaafc84ac704","","","mtgo, paper","default","black","","G","","G",NA,"",8775,0.11,NA,"",NA,"","nonfoil","","""But *why* can't I get one?"" sniveled Squee. ""All da bugs here got wings.""","","1997",NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Enchant","English","normal","",NA,"","{G}",1,"Frog Tongue","228","","","When Frog Tongue comes into play, draw a card.\nEnchanted creature can block creatures with flying.","Enchant Creature","","","TMP","","common","","","","TMP","","","","Aura","","Enchant creature\nWhen Frog Tongue enters the battlefield, draw a card.\nEnchanted creature has reach. (It can block creatures with flying.)","","Enchantment — Aura","Enchantment","05ecfa54-c6eb-52d9-89d5-cc288d5ee59b","","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Mitchell Malloy","23547f21-a6c7-44e0-bbb7-fd5e5e32d97c","","","mtgo, paper","","black","","U","","U",NA,"",153,0.26,NA,"",NA,"","nonfoil","","It took the banning of temporal manipulation at Tolaria West to teach its students the value of time.","","2015",NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,"","English","normal","",NA,"","{2}{U}",3,"Frantic Search","111","","","Draw two cards, then discard two cards. Untap up to three lands.","Instant","","","C20, CMM, DMR, MB1, NCC, PMEI, SLD, ULG, UMA, VMA, WC00","","common","","","","C20","","","","","","Draw two cards, then discard two cards. Untap up to three lands.","","Instant","Instant","4b17b0b2-6035-5d43-8db4-e02174c4dfe9","","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
"Aaron Miller","fc021f3d-773a-4706-bbe7-f602324f511f","","","arena, mtgo, paper","default","black","","U","","U",NA,"",22991,NA,NA,"",NA,"","nonfoil, foil","","""Another village, another angry mob. Why do I even bother unpacking?""","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{1}{U}",2,"Frantic Inventory","50","","","Draw a card, then draw cards equal to the number of cards named Frantic Inventory in your graveyard.","Instant","","","M21","","common","","","","M21","","","","","","Draw a card, then draw cards equal to the number of cards named Frantic Inventory in your graveyard.","","Instant","Instant","8eda09ee-8008-5cdc-9019-bf876dc3d46a","adc607e8-4797-5197-b4b5-48f2bb815c57","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"Margaret Organ-Kean","95951caa-bec8-4720-b836-471f7e7740cb","","","paper","default","white","","G","","G",NA,"",21677,0.18,NA,"",NA,"","nonfoil","","""Only the foolish fear foxfire.""\n—Kolbjörn, Elder Druid of the Juniper Order","","1997",NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{2}{G}",3,"Foxfire","295","","","Untap target attacking creature. That creature neither deals nor receives combat damage this turn.\nDraw a card at the beginning of the next turn.","Instant","","","5ED, ICE","","common","","","","5ED","","","","","","Untap target attacking creature. Prevent all combat damage that would be dealt to and dealt by that creature this turn.\nDraw a card at the beginning of the next turn's upkeep.","","Instant","Instant","7fa802b9-bb7d-5d98-bc83-42ea71bf94be","","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
"Terese Nielsen","eb55171c-2342-45f4-a503-2d5a75baf752","","","paper","default","black","","U","","U",NA,"",14939,0.08,NA,"",NA,"","nonfoil","","","","1993",NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{1}{U}",2,"Foresight","29a","","","Search your library for any three cards and remove them from the game. Shuffle your library afterwards.\nDraw a card at the beginning of the next turn's upkeep.","Sorcery","","","ALL","","common","","","","ALL","","","","","","Search your library for three cards, exile them, then shuffle.\nDraw a card at the beginning of the next turn's upkeep.","","Sorcery","Sorcery","b6432856-d0b5-580e-8058-3c4f2d476359","1902d567-81ea-5399-921d-e5a2fa9134f9","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"Ron Spears","fce9030b-86bd-4439-b06a-920a1eeb184c","","","mtgo, paper","default","black","","U","","U",NA,"",5633,0.05,NA,"",NA,"","nonfoil, foil","","Wind time's watch, and watch time unwind.","","2003",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scry","English","normal","",NA,"","{3}{U}",4,"Foresee","36","","","Scry 4, then draw two cards. (To scry 4, look at the top four cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)","Sorcery","","","FUT, M11, TSR","","common","","","","FUT","","","","","","Scry 4, then draw two cards.","","Sorcery","Sorcery","2049d8f3-991a-5e9f-a16a-ef940a6a0010","","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA
"Mark Winters","3d8a379d-f4e8-440d-99d5-5ec107757348","","","mtgo, paper","default","black","","U","","U",NA,"",16658,0.07,NA,"",NA,"","nonfoil, foil","","Where an enemy once rode, not even a whisper remains.","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ferocious","English","normal","",NA,"","{1}{U}",2,"Force Away","40","","","Return target creature to its owner's hand.\nFerocious — If you control a creature with power 4 or greater, you may draw a card. If you do, discard a card.","Instant","","","KTK","","common","","","","KTK","","","","","","Return target creature to its owner's hand.\nFerocious — If you control a creature with power 4 or greater, you may draw a card. If you do, discard a card.","","Instant","Instant","56965aa8-caf8-57a8-a4c7-f4423daa7ac4","","temur",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"Jonas De Ro","561ebf9e-8d93-4b57-8156-8826d0c19601","","","mtgo, paper","default","black","","U","","U",NA,"",15256,NA,NA,"",NA,"","nonfoil, foil","","Drink deep, and your thoughts will flow freely.","","2003",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{1}{U}",2,"Font of Fortunes","38","","","{1}{U}, Sacrifice Font of Fortunes: Draw two cards.","Enchantment","","","JOU","","common","","","","JOU","","","","","","{1}{U}, Sacrifice Font of Fortunes: Draw two cards.","","Enchantment","Enchantment","23cd2416-bf35-52c2-b7a6-ba1ee1bcc458","","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"Richard Kane Ferguson","191620ed-2361-444e-96a6-1fe7ce32ef3b","","","mtgo, paper","default","black","","U","","U",NA,"",6624,NA,NA,"",NA,"","nonfoil","","""Every spell has the potential to be worthless.""\n—Ertai, wizard adept","","1997",NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{2}{U}",3,"Flux","39","","","Each player chooses and discards any number of cards, then draws that many cards.\nDraw a card.","Sorcery","","","POR, WTH","","common","","","","WTH","","","","","","Each player discards any number of cards, then draws that many cards.\nDraw a card.","","Sorcery","Sorcery","96281193-2feb-5cd7-8efd-44b8e9a2cfbc","","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
"Jung Park","269392ac-4c06-4650-98e2-d49a5a7f2371","","","mtgo, paper","default","black","","U","","U",NA,"",18554,0.11,NA,"",NA,"","nonfoil, foil","","""It usually appears placid, but don't be fooled. The Luxa River is a snake, and it can swallow you whole.""\n—Neponem, vizier of Kefnet","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cycling","English","normal","",NA,"","{4}{U}{U}",6,"Floodwaters","53","","","Return up to two target creatures to their owners' hands.\nCycling {2} ({2}, Discard this card: Draw a card.)","Sorcery","","","AKH, AKR","","common","","","","AKH","","","","","","Return up to two target creatures to their owners' hands.\nCycling {2} ({2}, Discard this card: Draw a card.)","","Sorcery","Sorcery","6c0f7682-30c2-5a32-a7d6-048ecc6bdba1","","",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA
"Lius Lasahido","0a0e9093-ce44-4a69-93a7-09b63e7c330d","","","arena","default","black","","U","","U",NA,"",9980,0.05,NA,"",NA,"","nonfoil","","","","2015",NA,NA,NA,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,"Investigate","English","normal","",NA,"","{U}",1,"Floodhound","193","","","","","","1","J21, J22, MH2, PLIST","","common","","","","J21","","","","Elemental, Dog","","{3}, {T}: Investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")","2","Creature — Elemental Dog","Creature","75d56612-eb84-5715-b285-9faad89de8fe","","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Shishizaru","f993a598-f922-49c8-bb03-6beb3b780b0d","","","mtgo, paper","default","black","","U","","U",NA,"",9782,NA,NA,"",NA,"","nonfoil, foil","","When the Honden of Seeing Winds was forgotten, its attendants swarmed Kamigawa to uncover mortal secrets.","","2003",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{1}{U}",2,"Floating-Dream Zubera","61","","","When Floating-Dream Zubera is put into a graveyard from play, draw a card for each Zubera put into a graveyard from play this turn.","Creature - Zubera Spirit","","1","CHK","","common","","","","CHK","","","","Zubera, Spirit","","When Floating-Dream Zubera dies, draw a card for each Zubera that died this turn.","2","Creature — Zubera Spirit","Creature","5886dced-e60d-5574-b6e2-fad4352e84a5","","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"Glen Angus","7be3b9e4-de9b-4a3d-884e-e67b9681d409","","","paper","","white","","U","","U",NA,"",15989,0.21,NA,"",NA,"","nonfoil","","","","2003",NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Enchant","Spanish","normal","",NA,"","{3}{U}",4,"Flight of Fancy","G30","","","","","","","PSAL, RAV, UMA","mediainsert","common","","","","PSAL","","","","Aura","","Enchant creature\nWhen Flight of Fancy enters the battlefield, draw two cards.\nEnchanted creature has flying.","","Enchantment — Aura","Enchantment","bee92412-bf34-586b-bffe-5f0de13dab6a","","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA
"Franz Vohwinkel","3a243c17-3baa-4b53-9599-645311cd7d3d","","","mtgo, paper","default","black","","U","","",NA,"",14757,NA,NA,"",NA,"","nonfoil, foil","","","","2003",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{1}",1,"Flight Spellbomb","155","","","{T}, Sacrifice Flight Spellbomb: Target creature gains flying until end of turn.\nWhen Flight Spellbomb is put into a graveyard from the battlefield, you may pay {U}. If you do, draw a card.","Artifact","","","SOM","","common","","","","SOM","","","","","","{T}, Sacrifice Flight Spellbomb: Target creature gains flying until end of turn.\nWhen Flight Spellbomb is put into a graveyard from the battlefield, you may pay {U}. If you do, draw a card.","","Artifact","Artifact","586f8c07-4fad-5fae-b860-b53d8d5e9659","","mirran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"Ryan Yee","8955dca7-3e37-42b4-83a9-167c78a2178f","","","mtgo, paper","default","black","","U","","U",NA,"",7045,NA,NA,"",NA,"","nonfoil, foil","","The first spell taught to young mages, it has spared the lives of many whose hands are too small to hold a sword.","","2003",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{U}",1,"Fleeting Distraction","53","","","Target creature gets -1/-0 until end of turn.\nDraw a card.","Instant","","","AVR, CN2, DDN, J22, MB1, ROE","","common","","","","AVR","","","","","","Target creature gets -1/-0 until end of turn.\nDraw a card.","","Instant","Instant","1451f183-4a75-5409-af6b-9a4789a3d470","","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Izzy","2c3d2473-ff5d-4309-8194-e0b2def2ab65","","","mtgo, paper","default","black","","","","",NA,"",4216,0.03,NA,"",NA,"","nonfoil, foil","","""It's the must-have gift for everyone on your list. Get one for yourself, too!""\n—Chammi, curio vendor","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{3}",3,"Filigree Familiar","308","","","When Filigree Familiar enters the battlefield, you gain 2 life.\nWhen Filigree Familiar dies, draw a card.","Artifact Creature — Fox","","2","CMR, DDU, GNT, KLD, KLR, MB1","","common","","","","CMR","","","","Fox","","When Filigree Familiar enters the battlefield, you gain 2 life.\nWhen Filigree Familiar dies, draw a card.","2","Artifact Creature — Fox","Artifact, Creature","b845b1d7-5205-5424-9642-549635b88b39","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA
"Piotr Dura","aff176e8-1d15-432e-ad1d-207a474decba","","","arena, mtgo, paper","default","black","","G","","G",NA,"",11444,0.12,NA,"",NA,"","nonfoil, foil","","","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Learn","English","normal","",NA,"","{2}{G}",3,"Field Trip","131","","","Search your library for a basic Forest card, put that card onto the battlefield tapped, then shuffle.\nLearn. (You may reveal a Lesson card you own from outside the game and put it into your hand, or discard a card to draw a card.)","Sorcery","","","STX","","common","","","","STX","","","","","","Search your library for a basic Forest card, put that card onto the battlefield tapped, then shuffle.\nLearn. (You may reveal a Lesson card you own from outside the game and put it into your hand, or discard a card to draw a card.)","","Sorcery","Sorcery","4e62bc4c-ca9e-59b1-bc36-8ee7dab438af","","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
"PINDURSKI","f333a7f0-7330-40e9-8c58-667eea2f0f60","","","arena, mtgo, paper","default","black","","U","","U",NA,"",10405,0.19,NA,"",NA,"","nonfoil, foil","","""In the field, speed-reading is a survival skill.""","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kicker","English","normal","",NA,"","{2}{U}",3,"Field Research","58","","","Kicker {2}{U} (You may pay an additional {2}{U} as you cast this spell.)\nDraw two cards. If this spell was kicked, draw three cards instead.","Sorcery","","","ZNR","","common","","","","ZNR","","","","","","Kicker {2}{U} (You may pay an additional {2}{U} as you cast this spell.)\nDraw two cards. If this spell was kicked, draw three cards instead.","","Sorcery","Sorcery","3b8905a0-c91d-5e42-9c8e-2ba51cb21759","","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
"Ben Wootten","31cdca96-ecde-4245-bfb6-653929d57d9c","","","arena","default","black","","G","","G",NA,"",12043,0.11,NA,"",NA,"","nonfoil","","","","2015",NA,NA,NA,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{1}{G}",2,"Feral Prowler","191","","","When Feral Prowler dies, draw a card.","Creature — Cat","","1","AKR, HOU, JMP, MB1","","common","","","","AKR","","","","Cat","","When Feral Prowler dies, draw a card.","3","Creature — Cat","Creature","83592d5a-770c-56b1-ac63-d813cd047e70","","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"Una Fricker","0471a371-1bf8-49f2-8e76-cbe3a0bfa7e8","","","mtgo, paper","default","black","","G","","G",NA,"",21234,NA,NA,"",NA,"","nonfoil","","""If a rhino's head is lower than its shoulders, trust me—it is *not* praying.""\n—Mwani, Mtenda herder","","1997",NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{1}{G}",2,"Feral Instinct","107","","","Target creature gets +1/+1 until end of turn.\nDraw a card at the beginning of the next turn's upkeep.","Instant","","","VIS","","common","","","","VIS","","","","","","Target creature gets +1/+1 until end of turn.\nDraw a card at the beginning of the next turn's upkeep.","","Instant","Instant","66b26b5b-81f2-5466-aa05-b616b1285c00","","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
