"","card_name","commander","commander_deck","index","id","colorIdentity","colorIndicator","colors","convertedManaCost","edhrecRank","edhrecSaltiness","faceConvertedManaCost","faceFlavorName","faceManaValue","faceName","hand","hasAlternativeDeckLimit","hasContentWarning","isAlternative","isReserved","isStarter","isTimeshifted","keywords","leadershipSkills","life","loyalty","manaCost","manaValue","mcmId","mcmMetaId","originalPrintings","originalReleaseDate","originalText","originalType","otherFaceIds","power","printings","rarity","subtypes","supertypes","text","toughness","type","types","watermark","GreenMana","BlackMana","BlueMana","WhiteMana","RedMana","ColourlessMana","ManaDiscrep","GreenBlackMana","GreenBlueMana","GreenWhiteMana","GreenRedMana","BlackBlueMana","BlackWhiteMana","BlackRedMana","BlueWhiteMana","BlueRedMana","WhiteRedMana"
"47","Field of the Dead","","Dina_upgrade",56561,56562,"","","",0,282,1.11,NA,"",NA,"",NA,0,0,1,0,1,0,"","",NA,"","",0,382323,NA,"","","","","","","M20,PM20","rare","","","Field of the Dead enters the battlefield tapped.
{T}: Add {C}.
Whenever Field of the Dead or another land enters the battlefield under your control, if you control seven or more lands with different names, create a 2/2 black Zombie creature token.","","Land","Land","",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"48","Hagra Mauling // Hagra Broodpit","","Dina_upgrade",80223,80224,"B","","",0,983,NA,NA,"",NA,"Hagra Broodpit",NA,0,0,0,0,1,0,"","",NA,"","",0,496435,317005,"","","Hagra Broodpit enters the battlefield tapped.
{T}: Add {B}.","Land","ee07b2ff-7520-5e0f-952d-675a7ec95965","","PRM,PZNR,ZNR","rare","","","Hagra Broodpit enters the battlefield tapped.
{T}: Add {B}.","","Land","Land","",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"49","Mana Confluence","","Dina_upgrade",68461,68462,"","","",0,92,0.1,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","",0,NA,NA,"","2022-05-04","","","","","CMR,EA2,EXP,JOU,PRM,SLD","rare","","","{T}, Pay 1 life: Add one mana of any color.","","Land","Land","",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"50","Overgrown Tomb","","Dina_upgrade",75010,75011,"B,G","","",0,67,0.13,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","",0,676200,8044,"","","","","","","EXP,GRN,PGRN,PRM,RAV,RTR,SLD,UNF","rare","Swamp,Forest","","({T}: Add {B} or {G}.)
As Overgrown Tomb enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.","","Land — Swamp Forest","Land","",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"51","Turntimber Symbiosis // Turntimber, Serpentine Wood","","Dina_upgrade",80251,80252,"G","","",0,1156,NA,NA,"",NA,"Turntimber, Serpentine Wood",NA,0,0,0,0,1,0,"","",NA,"","",0,496190,316875,"","","As Turntimber, Serpentine Wood enters the battlefield, you may pay 3 life. If you don't, it enters the battlefield tapped.
{T}: Add {G}.","Land","f6aeb170-0112-5224-8df5-274ce7558327","","PRM,PZNR,ZNR","mythic","","","As Turntimber, Serpentine Wood enters the battlefield, you may pay 3 life. If you don't, it enters the battlefield tapped.
{T}: Add {G}.","","Land","Land","",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"52","Twilight Mire","","Dina_upgrade",59222,59223,"B,G","","",0,774,0.09,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","",0,NA,NA,"","2016-11-23","","","","","2XM,A25,EVE,EXP,NCC,PRM","rare","","","{T}: Add {C}.
{B/G}, {T}: Add {B}{B}, {B}{G}, or {G}{G}.","","Land","Land","",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"53","Undergrowth Stadium","","Dina_upgrade",59983,59984,"B,G","","",0,177,0.05,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","",0,NA,NA,"","2020-12-15","","","","","CMR,PRM","rare","","","Undergrowth Stadium enters the battlefield tapped unless you have two or more opponents.
{T}: Add {B} or {G}.","","Land","Land","",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"54","Urborg, Tomb of Yawgmoth","","Dina_upgrade",75930,75931,"","","",0,52,0.41,NA,"",NA,"",NA,0,0,0,0,1,0,"","",NA,"","",0,257402,8751,"","","Each land is a Swamp in addition to its other land types.","Legendary Land","","","M15,PLC,PLIST,PUMA,TSR,UMA,V12","mythic","","Legendary","Each land is a Swamp in addition to its other land types.","","Legendary Land","Land","",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"55","Verdant Catacombs","","Dina_upgrade",79795,79796,"","","",0,44,0.28,NA,"",NA,"",NA,0,0,0,0,1,0,"","",NA,"","",0,494924,10796,"","","{T}, Pay 1 life, Sacrifice Verdant Catacombs: Search your library for a Swamp or Forest card, put it onto the battlefield, then shuffle your library.","Land","","","EXP,MH2,MM3,PMH2,PRM,SLU,ZEN,ZNE","mythic","","","{T}, Pay 1 life, Sacrifice Verdant Catacombs: Search your library for a Swamp or Forest card, put it onto the battlefield, then shuffle.","","Land","Land","",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"56","Witch's Cottage","","Dina_upgrade",25957,25958,"B","","",0,690,0.06,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","",0,398604,280759,"","","({T}: Add {B}.)
Witch's Cottage enters the battlefield tapped unless you control three or more other Swamps.
When Witch's Cottage enters the battlefield untapped, you may put target creature card from your graveyard on top of your library.","Land — Swamp","","","ELD","common","Swamp","","({T}: Add {B}.)
Witch's Cottage enters the battlefield tapped unless you control three or more other Swamps.
When Witch's Cottage enters the battlefield untapped, you may put target creature card from your graveyard on top of your library.","","Land — Swamp","Land","",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"57","Woodland Cemetery","","Dina_upgrade",53581,53582,"B,G","","",0,204,NA,NA,"",NA,"",NA,0,0,1,0,1,0,"","",NA,"","",0,355735,NA,"","","","","","","DMR,DOM,ISD,PDOM","rare","","","Woodland Cemetery enters the battlefield tapped unless you control a Swamp or a Forest.
{T}: Add {B} or {G}.","","Land","Land","",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"58","Yavimaya, Cradle of Growth","","Dina_upgrade",60599,60600,"","","",0,88,0.26,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","",0,NA,NA,"","2021-06-19","","","","","MH2,PMH2,PRM","rare","","Legendary","Each land is a Forest in addition to its other land types.","","Legendary Land","Land","",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"59","Zof Consumption // Zof Bloodbog","","Dina_upgrade",79970,79971,"B","","",0,6703,NA,NA,"",NA,"Zof Bloodbog",NA,0,0,0,0,0,0,"","",NA,"","",0,495624,316469,"","","Zof Bloodbog enters the battlefield tapped.
{T}: Add {B}.


Sorcery
{4}{B}{B}","Land","c097250b-2e07-5484-8507-5e9f075b244e","","ZNR","uncommon","","","Zof Bloodbog enters the battlefield tapped.
{T}: Add {B}.","","Land","Land","",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"60","Dryad Arbor","","Dina_upgrade",75922,75923,"G","G","G",0,589,0.24,NA,"",NA,"",NA,0,0,0,0,1,0,"","",NA,"","",0,257397,9095,"","","G","Land Creature — Forest Dryad","","1","FUT,PLIST,TSR,V12","mythic","Forest,Dryad","","(Dryad Arbor isn't a spell, it's affected by summoning sickness, and it has ""{T}: Add {G}."")","1","Land Creature — Forest Dryad","Land,Creature","",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"61","Liliana, Dreadhorde General","","Dina_upgrade",77364,77365,"B","","B",6,636,0.73,NA,"",NA,"",NA,0,0,1,0,0,0,"","{""brawl"": false, ""commander"": false, ""oathbreaker"": true}",NA,"6","{4}{B}{B}",6,372744,269265,"","","","","","","PRM,PWAR,PWCS,SLD,WAR","mythic","Liliana","Legendary","Whenever a creature you control dies, draw a card.
[+1]: Create a 2/2 black Zombie creature token.
[−4]: Each player sacrifices two creatures.
[−9]: Each opponent chooses a permanent they control of each permanent type and sacrifices the rest.","","Legendary Planeswalker — Liliana","Planeswalker","",0,2,0,0,0,4,NA,0,0,0,0,0,0,0,0,0,0
"62","Damnation","","Dina_upgrade",73310,73311,"B","","B",4,186,0.51,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","{2}{B}{B}",4,543721,8671,"","","Destroy all creatures. They can't be regenerated.","Sorcery","","","2X2,J15,MM3,MP2,P08,PLC,PRM,SLD,TSR","mythic","","","Destroy all creatures. They can't be regenerated.","","Sorcery","Sorcery","",0,2,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0
"63","Demonic Tutor","","Dina_upgrade",76309,76310,"B","","B",2,36,1.22,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","{1}{B}",2,NA,NA,"","","Search your library for a card and put that card into your hand. Then shuffle your library.","Sorcery","","","2ED,30A,3ED,CED,CEI,DDC,DVD,FBB,G08,J20,LEA,LEB,MB1,ME4,PLIST,PRM,PUMA,STA,SUM,UMA,VMA","mythic","","","Search your library for a card, put that card into your hand, then shuffle.","","Sorcery","Sorcery","",0,1,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0
"64","Living Death","","Dina_upgrade",76319,76320,"B","","B",5,470,0.74,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","{3}{B}{B}",5,NA,NA,"","","Each player exiles all creature cards from his or her graveyard, then sacrifices all creatures he or she controls, then puts all cards he or she exiled this way onto the battlefield.","Sorcery","","","40K,A25,BRB,CM2,CMD,DDE,G03,MB1,PLIST,PRM,TMP,TPR,V14,VMA","rare","","","Each player exiles all creature cards from their graveyard, then sacrifices all creatures they control, then puts all cards they exiled this way onto the battlefield.","","Sorcery","Sorcery","",0,2,0,0,0,3,NA,0,0,0,0,0,0,0,0,0,0
"65","Torment of Hailfire","","Dina_upgrade",54222,54223,"B","","B",2,369,1.58,NA,"",NA,"",NA,0,0,1,0,1,0,"","",NA,"","{X}{B}{B}",2,298984,NA,"","","","","","","AKR,HOU,MB1,PHOU","rare","","","Repeat the following process X times. Each opponent loses 3 life unless that player sacrifices a nonland permanent or discards a card.","","Sorcery","Sorcery","",0,2,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
