"artist","artistIds","asciiName","availability","boosterTypes","borderColor","colorIdentity","colors","edhrecSaltiness","faceName","finishes","flavorText","frameEffects","frameVersion","hasFoil","hasNonFoil","isFullArt","isFunny","isPromo","isReprint","isTextless","keywords","language","layout","name","number","orientation","originalText","originalType","otherFaceIds","power","promoTypes","relatedCards","reverseRelated","securityStamp","setCode","side","signature","subtypes","supertypes","text","toughness","type","types","uuid","watermark"
"Dan Scott","f852fa13-137e-40f2-bbc1-0f01df09c0e0","","paper","","black","G","G",NA,"","nonfoil","","",2015,0,1,NA,NA,NA,1,NA,"","English","token","Snake","17","","","","","1","setpromo","{'reverseRelated': ['Snake Pit', 'Snake Basket', 'Hooded Hydra', 'Orochi Hatchery', ""Sosuke's Summons"", 'Seed the Land', 'Xyris, the Writhing Storm', 'Endless Swarm', 'Orochi Eggwatcher // Shidako, Broodmistress', 'Bestial Menace', 'Rite of the Serpent', 'Cobra Trap']}","Snake Pit, Snake Basket, Hooded Hydra, Orochi Hatchery, Sosuke's Summons, Seed the Land, Xyris, the Writhing Storm, Endless Swarm, Orochi Eggwatcher // Shidako, Broodmistress, Bestial Menace, Rite of the Serpent, Cobra Trap","","TC15","","","Snake","","","1","Token Creature — Snake","Token, Creature","f94be7b2-a19b-55a3-8df7-093c5d384f52",""
"Daniel Ljunggren","0fbd4798-76eb-46d5-a5d4-1e3a25870e34","","paper","","black","G","G",NA,"","nonfoil","","",2015,0,1,NA,NA,NA,1,NA,"Reach","English","token","Spider","18","","","","","1","setpromo","{'reverseRelated': ['Rotwidow Pack', ""Gloomwidow's Feast"", 'Arasta of the Endless Web', 'Ishkanah, Grafwidow', 'Twin-Silk Spider', 'Arachnogenesis', 'Curse of Clinging Webs', 'Spider Spawning', 'Brood Weaver']}","Rotwidow Pack, Gloomwidow's Feast, Arasta of the Endless Web, Ishkanah, Grafwidow, Twin-Silk Spider, Arachnogenesis, Curse of Clinging Webs, Spider Spawning, Brood Weaver","","TC15","","","Spider","","Reach","2","Token Creature — Spider","Token, Creature","1930d0bd-5b6a-5783-8619-8ef1c74b3710",""
"David Palumbo","04ce1c75-e30c-4b7a-8cb0-b53e4ecc2f39","","paper","","black","G","G",NA,"","nonfoil","","",2015,0,1,NA,NA,NA,1,NA,"","English","token","Wolf","19","","","","","2","setpromo","{'reverseRelated': ['Hollowhenge Overlord', ""Tovolar's Huntmaster // Tovolar's Packleader"", 'Fable of Wolf and Owl', 'Elturgard Ranger', 'Wolfbriar Elemental', 'Turntimber Ranger', 'Bird', 'Feed the Pack', 'Wolfkin Bond', 'Nightpack Ambusher', 'Cult of the Waxing Moon', 'Huntmaster of the Fells // Ravager of the Fells', 'Pack Guardian', 'Arlinn Kord // Arlinn, Embraced by the Moon', 'Mayor of Avabruck // Howlpack Alpha', 'Wolfwillow Haven', 'Garruk Relentless // Garruk, the Veil-Cursed', 'Howl of the Night Pack', 'Ferocious Pup', ""Predator's Howl"", 'Arlinn, Voice of the Pack', 'Journey to the Lost City', 'Howling Moon', 'Child of the Pack // Savage Packmate', 'Raised by Wolves', 'Varis, Silverymoon Ranger', 'Wolf-Skull Shaman', 'Howling Giant', 'Mantle of the Wolf', ""Wolfrider's Saddle"", 'Ranger Class', ""Wren's Run Packmaster"", 'Kessig Cagebreakers', 'Faldorn, Dread Wolf Herald', 'Master of the Wild Hunt', 'Somberwald Beastmaster', 'Silverfur Partisan', ""Wolfcaller's Howl"", 'Bestial Menace', ""Arlinn, the Pack's Hope // Arlinn, the Moon's Fury"", 'Sword of Body and Mind']}","Hollowhenge Overlord, Tovolar's Huntmaster // Tovolar's Packleader, Fable of Wolf and Owl, Elturgard Ranger, Wolfbriar Elemental, Turntimber Ranger, Bird, Feed the Pack, Wolfkin Bond, Nightpack Ambusher, Cult of the Waxing Moon, Huntmaster of the Fells // Ravager of the Fells, Pack Guardian, Arlinn Kord // Arlinn, Embraced by the Moon, Mayor of Avabruck // Howlpack Alpha, Wolfwillow Haven, Garruk Relentless // Garruk, the Veil-Cursed, Howl of the Night Pack, Ferocious Pup, Predator's Howl, Arlinn, Voice of the Pack, Journey to the Lost City, Howling Moon, Child of the Pack // Savage Packmate, Raised by Wolves, Varis, Silverymoon Ranger, Wolf-Skull Shaman, Howling Giant, Mantle of the Wolf, Wolfrider's Saddle, Ranger Class, Wren's Run Packmaster, Kessig Cagebreakers, Faldorn, Dread Wolf Herald, Master of the Wild Hunt, Somberwald Beastmaster, Silverfur Partisan, Wolfcaller's Howl, Bestial Menace, Arlinn, the Pack's Hope // Arlinn, the Moon's Fury, Sword of Body and Mind","","TC15","","","Wolf","","","2","Token Creature — Wolf","Token, Creature","11eaab19-aa24-53b1-b785-d6477b7bb899",""
"Randy Gallegos","a5048cc7-438a-4378-98e4-da99b78e1db0","","paper","","black","R, U","R, U",NA,"","nonfoil","","",2015,0,1,NA,NA,NA,1,NA,"Flying","English","token","Elemental","20","","","","","5","setpromo","{'reverseRelated': ['Call the Skybreaker']}","Call the Skybreaker","","TC15","","","Elemental","","Flying","5","Token Creature — Elemental","Token, Creature","3502f9f9-3b4c-5103-9968-9a91163f0558",""
"Christopher Moeller","21e10012-06ae-44f2-b38d-3824dd2e73d4","","paper","","black","G, U","G, U",NA,"","nonfoil","","",2015,0,1,NA,NA,NA,NA,NA,"","English","token","Snake","21","","","","","1","setpromo","{'reverseRelated': ['Patagia Viper']}","Patagia Viper","","TC15","","","Snake","","","1","Token Creature — Snake","Token, Creature","60cbcfc9-178d-510f-b449-f9533ca283f6",""
"Cliff Childs","ed6f7e03-20ba-4c73-bdda-4a4928480721","","paper","","black","B, W","B, W",NA,"","nonfoil","","",2015,0,1,NA,NA,NA,1,NA,"Flying","English","token","Spirit","22","","","","","1","setpromo","{'reverseRelated': ['Ministrant of Obligation', 'Beckon Apparition', 'Seraph of the Scales', 'Orzhov Racketeers', 'Knight of Sorrows', 'Knight of the Last Breath', ""Debtors' Transport"", 'Invasion of Tolvada // The Broken Sky', 'Teysa, Envoy of Ghosts', ""Kaya's Guile"", 'Imperious Oligarch', 'Tithe Taker', 'Ethereal Absolution', 'Syndicate Messenger', 'Orzhov Enforcer']}","Ministrant of Obligation, Beckon Apparition, Seraph of the Scales, Orzhov Racketeers, Knight of Sorrows, Knight of the Last Breath, Debtors' Transport, Invasion of Tolvada // The Broken Sky, Teysa, Envoy of Ghosts, Kaya's Guile, Imperious Oligarch, Tithe Taker, Ethereal Absolution, Syndicate Messenger, Orzhov Enforcer","","TC15","","","Spirit","","Flying","1","Token Creature — Spirit","Token, Creature","b5772afa-c000-5ab4-9eff-4bd7f18856fb",""
"Adam Paquette","89023dad-e6c0-41e0-83fb-eb2bfbbdc3f2","","paper","","black","B, W","B, W",NA,"","nonfoil","","nyxtouched",2015,0,1,NA,NA,NA,NA,NA,"","English","token","Spirit","23","","","","","*","setpromo","{'reverseRelated': ['Daxos the Returned']}","Daxos the Returned","","TC15","","","Spirit","","This creature's power and toughness are each equal to the number of experience counters you have.","*","Token Enchantment Creature — Spirit","Token, Enchantment, Creature","63f18ec9-52eb-53f5-9a53-0e7ae8f430eb",""
"Richard Wright","7b1b0ce9-2c58-4321-a2a7-cdc94feae082","","paper","","black","","",NA,"","nonfoil","","",2015,0,1,NA,NA,NA,1,NA,"","English","token","Gold","24","","","","","","setpromo","{'reverseRelated': ['King Macar, the Gold-Cursed', 'The First Iroan Games', 'Gild', 'Curse of Opulence']}","King Macar, the Gold-Cursed, The First Iroan Games, Gild, Curse of Opulence","","TC15","","","Gold","","Sacrifice this artifact: Add one mana of any color.","","Token Artifact — Gold","Token, Artifact","a3d5d5c7-2133-5762-a108-aa4de8c98b17",""
"Daniel Ljunggren","0fbd4798-76eb-46d5-a5d4-1e3a25870e34","","paper","","black","","",NA,"","nonfoil","","",2015,0,1,NA,NA,NA,1,NA,"","English","token","Spirit","1","","","","","1","setpromo","{'reverseRelated': ['One with the Kami', ""Sekki, Seasons' Guide"", 'Release to Memory', 'Spiritual Visit', 'Searchlight Companion', 'Go-Shintai of Shared Purpose', 'Promise of Bunrei', 'Dripping-Tongue Zubera', 'Baku Altar', 'Akki Ember-Keeper', 'The Restoration of Eiganjo // Architect of Restoration', ""Honden of Life's Web"", ""Gods' Eye, Gate to the Reikai"", 'Concord with the Kami', 'Myojin of Blooming Dawn', 'Sokenzan, Crucible of Defiance', 'Teachings of the Kirin // Kirin-Touched Orochi', 'Forbidden Orchard']}","One with the Kami, Sekki, Seasons' Guide, Release to Memory, Spiritual Visit, Searchlight Companion, Go-Shintai of Shared Purpose, Promise of Bunrei, Dripping-Tongue Zubera, Baku Altar, Akki Ember-Keeper, The Restoration of Eiganjo // Architect of Restoration, Honden of Life's Web, Gods' Eye, Gate to the Reikai, Concord with the Kami, Myojin of Blooming Dawn, Sokenzan, Crucible of Defiance, Teachings of the Kirin // Kirin-Touched Orochi, Forbidden Orchard","","TC16","","","Spirit","","","1","Token Creature — Spirit","Token, Creature","b7f9eab4-27e1-51b9-993b-bf16a3aae914",""
"Winona Nelson","e45fe8d3-75d6-42c9-a2df-e945ad81ea27","","paper","","black","W","W",NA,"","nonfoil","","",2015,0,1,NA,NA,NA,1,NA,"Flying","English","token","Bird","2","","","","","1","setpromo","{'reverseRelated': ['Ornitharch', 'Akim, the Soaring Wind', 'Jötun Owl Keeper', 'Beck // Call', 'Scour the Desert', 'Seller of Songbirds', 'Eyes in the Skies', 'Wingmantle Chaplain', 'Love Song of Night and Day', 'Scion of Vitu-Ghazi', 'Falconer Adept', 'Battle Screech', 'Emeria Angel', 'Migratory Route', 'Soul of Migration', 'Aether Channeler']}","Ornitharch, Akim, the Soaring Wind, Jötun Owl Keeper, Beck // Call, Scour the Desert, Seller of Songbirds, Eyes in the Skies, Wingmantle Chaplain, Love Song of Night and Day, Scion of Vitu-Ghazi, Falconer Adept, Battle Screech, Emeria Angel, Migratory Route, Soul of Migration, Aether Channeler","","TC16","","","Bird","","Flying","1","Token Creature — Bird","Token, Creature","79df8131-1c78-5b5b-94c8-11fae26589c9",""
"Anthony S. Waters","f009de11-3c8d-4663-b996-ca0c3e997fad","","paper","","black","W","W",NA,"","nonfoil","","",2015,0,1,NA,NA,NA,1,NA,"Flying","English","token","Elemental","3","","","","","4","setpromo","{'reverseRelated': ['Hoofprints of the Stag']}","Hoofprints of the Stag","","TC16","","","Elemental","","Flying","4","Token Creature — Elemental","Token, Creature","58820708-72a1-5c66-a942-b99dd08b1e04",""
"Adam Paquette","89023dad-e6c0-41e0-83fb-eb2bfbbdc3f2","","paper","","black","W","W",NA,"","nonfoil","","",2015,0,1,NA,NA,NA,1,NA,"","English","token","Goat","4","","","","","0","setpromo","{'reverseRelated': ['Springjack Shepherd', 'Woe Strider', 'Trading Post', 'Everythingamajig', 'Clackbridge Troll', 'Springjack Pasture', 'Discordant Piper', 'Goldmeadow', 'Contraband Livestock']}","Springjack Shepherd, Woe Strider, Trading Post, Everythingamajig, Clackbridge Troll, Springjack Pasture, Discordant Piper, Goldmeadow, Contraband Livestock","","TC16","","","Goat","","","1","Token Creature — Goat","Token, Creature","6c0f04ce-10b5-5788-8169-c79b84a8dde9",""
"Seb McKinnon","ad4caca0-8d89-44ce-a1a6-d5ca905bd6fb","","paper","","black","W","W",NA,"","nonfoil","","",2015,0,1,NA,NA,NA,1,NA,"","English","token","Soldier","5","","","","","1","setpromo","{'reverseRelated': ['Phyrexian Warhorse', ""Elspeth, Sun's Champion"", 'First Response', 'Throne of Empires', 'Deploy to the Front', 'Baird, Argivian Recruiter', 'Entrapment Maneuver', 'Security Detail', 'Undercellar Sweep', 'Martial Coup', 'Sergeant-at-Arms', 'Launch the Fleet', 'Benalish Commander', 'Torsten, Founder of Benalia', 'Precinct Captain', 'Scout the Wilderness', 'Murder Investigation', 'Hero of Bladehold', ""Captain's Call"", 'Basri Ket', 'Keeper of the Accord', 'Tura Kennerüd, Skyknight', 'Prava of the Steel Legion', 'Evangel of Heliod', 'Company Commander', 'Raise the Alarm', 'Queen Allenal of Ruadach', 'Elspeth Tirel', 'Knight-Captain of Eos', 'Keldon Strike Team', 'Timely Reinforcements', 'Decree of Justice', 'Bant Sojourners', 'Mobilization', 'Veteran Soldier', 'Even the Odds', 'Protect the Negotiators', ""You're Confronted by Robbers"", 'Lieutenants of the Guard', 'Defiler of Faith', 'Kjeldoran Outpost', 'Akroan Horse', 'Skyknight Vanguard', ""Elspeth's Talent"", 'Stormfront Riders', 'Captain of the Watch', 'Lena, Selfless Champion', 'Ancestral Blade', 'Ironroot Warlord', 'Attended Knight', 'Alliance of Arms', 'Heroic Reinforcements', 'Argivian Cavalier', ""Abdel Adrian, Gorion's Ward"", ""Historian's Boon"", ""Horn of Valhalla // Ysgard's Call"", 'Darien, King of Kjeldor', 'Recruitment Drive', 'Secure the Scene', 'Recruit the Worthy', 'King Darien XLVIII', 'Resolute Reinforcements', 'Elspeth, Knight-Errant', 'Memorial to Glory']}","Phyrexian Warhorse, Elspeth, Sun's Champion, First Response, Throne of Empires, Deploy to the Front, Baird, Argivian Recruiter, Entrapment Maneuver, Security Detail, Undercellar Sweep, Martial Coup, Sergeant-at-Arms, Launch the Fleet, Benalish Commander, Torsten, Founder of Benalia, Precinct Captain, Scout the Wilderness, Murder Investigation, Hero of Bladehold, Captain's Call, Basri Ket, Keeper of the Accord, Tura Kennerüd, Skyknight, Prava of the Steel Legion, Evangel of Heliod, Company Commander, Raise the Alarm, Queen Allenal of Ruadach, Elspeth Tirel, Knight-Captain of Eos, Keldon Strike Team, Timely Reinforcements, Decree of Justice, Bant Sojourners, Mobilization, Veteran Soldier, Even the Odds, Protect the Negotiators, You're Confronted by Robbers, Lieutenants of the Guard, Defiler of Faith, Kjeldoran Outpost, Akroan Horse, Skyknight Vanguard, Elspeth's Talent, Stormfront Riders, Captain of the Watch, Lena, Selfless Champion, Ancestral Blade, Ironroot Warlord, Attended Knight, Alliance of Arms, Heroic Reinforcements, Argivian Cavalier, Abdel Adrian, Gorion's Ward, Historian's Boon, Horn of Valhalla // Ysgard's Call, Darien, King of Kjeldor, Recruitment Drive, Secure the Scene, Recruit the Worthy, King Darien XLVIII, Resolute Reinforcements, Elspeth, Knight-Errant, Memorial to Glory","","TC16","","","Soldier","","","1","Token Creature — Soldier","Token, Creature","ceac2db2-e42c-5a08-89a2-dfca70e74f8d",""
"Mike Sass","155bc2cb-038d-4b1f-9990-6178db1d1a21","","paper","","black","W","W",NA,"","nonfoil","","",2015,0,1,NA,NA,NA,1,NA,"Flying","English","token","Spirit","6","","","","","1","setpromo","{'reverseRelated': ['Funeral Pyre', 'Haunted Dead', 'Blessed Defiance', ""Slayer's Plate"", 'Lingering Souls', 'Staff of the Storyteller', 'Gallows at Willow Hill', 'Kaya the Inexorable', 'Nearheath Chaplain', 'Oath of the Grey Host', 'Ethereal Investigator', 'Whispering Wizard', 'Spectral Procession', 'Abzan Ascendancy', 'Benevolent Offering', 'King of the Oathbreakers', 'Nurturing Presence', 'Triplicate Spirits', 'Afterlife', 'Field of Souls', ""Kirtar's Wrath"", 'Moorland Haunt', 'Hallowed Spiritkeeper', 'Requiem Angel', 'Spectral Reserves', 'Mausoleum Guard', 'Occult Epiphany', 'Hanged Executioner', 'Millicent, Restless Revenant', ""Kykar, Wind's Fury"", 'Priest of the Blessed Graf', 'Thalisse, Reverent Medium', 'Sanctifier of Souls', 'Teysa, Orzhov Scion', ""Avacyn's Collar"", 'Valor of the Worthy', 'Brine Comber // Brinebound Gift', 'Luminous Angel', 'Seize the Soul', 'Heron-Blessed Geist', 'Doomed Traveler', 'Midnight Haunting', 'Drogskol Cavalry', 'Spirit Cairn', 'Bishop of Wings', 'Twilight Drover', 'Path of the Ghosthunter', 'Shadow Summoning', 'March of Souls', 'Confront the Assault', 'Vessel of Ephemera', 'Dauntless Cathar', 'Ranar the Ever-Watchful', 'Custodi Soulbinders', 'Alharu, Solemn Ritualist', 'Clarion Spirit', 'Kaya, Geist Hunter', 'Not Forgotten', 'Geist-Honored Monk', 'Rousing of Souls', 'Andúril, Flame of the West', 'Haunted Library', 'Elgaud Inquisitor', ""Thalia's Geistcaller"", 'Emissary of the Sleepless', 'Spirit Bonds', 'Transluminant', 'Court of Grace', 'Sandsteppe Outcast']}","Funeral Pyre, Haunted Dead, Blessed Defiance, Slayer's Plate, Lingering Souls, Staff of the Storyteller, Gallows at Willow Hill, Kaya the Inexorable, Nearheath Chaplain, Oath of the Grey Host, Ethereal Investigator, Whispering Wizard, Spectral Procession, Abzan Ascendancy, Benevolent Offering, King of the Oathbreakers, Nurturing Presence, Triplicate Spirits, Afterlife, Field of Souls, Kirtar's Wrath, Moorland Haunt, Hallowed Spiritkeeper, Requiem Angel, Spectral Reserves, Mausoleum Guard, Occult Epiphany, Hanged Executioner, Millicent, Restless Revenant, Kykar, Wind's Fury, Priest of the Blessed Graf, Thalisse, Reverent Medium, Sanctifier of Souls, Teysa, Orzhov Scion, Avacyn's Collar, Valor of the Worthy, Brine Comber // Brinebound Gift, Luminous Angel, Seize the Soul, Heron-Blessed Geist, Doomed Traveler, Midnight Haunting, Drogskol Cavalry, Spirit Cairn, Bishop of Wings, Twilight Drover, Path of the Ghosthunter, Shadow Summoning, March of Souls, Confront the Assault, Vessel of Ephemera, Dauntless Cathar, Ranar the Ever-Watchful, Custodi Soulbinders, Alharu, Solemn Ritualist, Clarion Spirit, Kaya, Geist Hunter, Not Forgotten, Geist-Honored Monk, Rousing of Souls, Andúril, Flame of the West, Haunted Library, Elgaud Inquisitor, Thalia's Geistcaller, Emissary of the Sleepless, Spirit Bonds, Transluminant, Court of Grace, Sandsteppe Outcast","","TC16","","","Spirit","","Flying","1","Token Creature — Spirit","Token, Creature","05306b3c-7628-5aa0-9206-badfea6bd69c",""
"Peter Mohrbacher","c8f27311-46a5-4eaf-9b2e-d660ed1db649","","paper","","black","U","U",NA,"","nonfoil","","",2015,0,1,NA,NA,NA,1,NA,"Flying","English","token","Bird","7","","","","","2","setpromo","{'reverseRelated': ['Song of Eärendil', 'Radagast, Wizard of Wilds', 'Swan Song']}","Song of Eärendil, Radagast, Wizard of Wilds, Swan Song","","TC16","","","Bird","","Flying","2","Token Creature — Bird","Token, Creature","8c2f12fe-e7d0-5b3a-a644-ecaa45df5f9c",""
"Jack Wang","331942ac-401c-4af3-9d70-85f67717496c","","paper","","black","U","U",NA,"","nonfoil","","",2015,0,1,NA,NA,NA,1,NA,"Islandwalk, Landwalk","English","token","Squid","8","","","","","1","setpromo","{'reverseRelated': ['Chasm Skulker', 'Coral Barrier']}","Chasm Skulker, Coral Barrier","","TC16","","","Squid","","Islandwalk (This creature can't be blocked as long as defending player controls an Island.)","1","Token Creature — Squid","Token, Creature","bfdd1275-acd2-5382-b259-1e050d43015f",""
"Andrew Murray","d809825f-3cdc-4567-8fe0-0fbf4c2e7e9d","","paper","","black","U","U",NA,"","nonfoil","","",2015,0,1,NA,NA,NA,1,NA,"Flying","English","token","Thopter","9","","","","","1","setpromo","{'reverseRelated': ['Thopter Foundry', 'Sharding Sphinx', 'Breya, Etherium Shaper']}","Thopter Foundry, Sharding Sphinx, Breya, Etherium Shaper","","TC16","","","Thopter","","Flying","1","Token Artifact Creature — Thopter","Token, Artifact, Creature","3594b34d-7f31-56f1-8a20-47d2a27b4e0f",""
"Igor Kieryluk","9c3e9d17-509f-485c-9360-46d897ce716b","","paper","","black","B","B",NA,"","nonfoil","","",2015,0,1,NA,NA,NA,1,NA,"","English","token","Germ","10","","","","","0","setpromo","{'reverseRelated': ['Phyrexian Germ']}","Phyrexian Germ","","TC16","","","Germ","","","0","Token Creature — Germ","Token, Creature","00a3b3ce-e6be-5a96-becf-0357fa089f7c",""
"Lucas Graciano","ce98f39c-7cdd-47e6-a520-6c50443bb4c2","","paper","","black","B","B",NA,"","nonfoil","","",2015,0,1,NA,NA,NA,1,NA,"","English","token","Zombie","11","","","","","2","setpromo","{'reverseRelated': ['Waste Not', 'Awaken the Erstwhile', 'Empty the Pits', 'Wight', ""Gisa's Bidding"", 'Oath of Liliana', 'Ghoulcaller Gisa', 'Bridge from Below', 'Shamble Back', 'Doomed Dissenter', 'The Fourth Sphere', ""Ghoulcaller's Accomplice"", 'Cryptbreaker', ""Drana's Chosen"", 'Rakshasa Gravecaller', 'Tymaret Calls the Dead', 'Graveyard Marshal', 'Open the Graves', 'Dying to Serve', 'Acererak the Archlich', 'Cradle of the Accursed', 'Undead Alchemist', 'Midnight Ritual', 'Rise from the Tides', 'Bone Miser', 'Nevinyrral, Urborg Tyrant', 'Sidisi, Brood Tyrant', 'Archdemon of Unx', 'Feast or Famine', 'Hour of Promise', 'Rank Officer', 'Stir the Sands', 'Undead Servant', 'Liliana, Dreadhorde General', 'Dread Summons', 'Boneclad Necromancer', 'Liliana, the Last Hope', 'Vile Rebirth', 'Endless Ranks of the Dead', 'Curse of Disturbance', 'Tormod, the Desecrator', 'Cemetery Reaper', 'Army of the Damned', ""Liliana, Death's Majesty"", 'Aphemia, the Cacophony', 'Drunau Corpse Trawler', 'Oglor, Devoted Assistant', 'Assemble the Rank and Vile', 'Grixis Slavedriver', ""Necromancer's Covenant"", 'Necromentia', 'Reap the Seagraf', ""Liliana's Reaver"", 'Varina, Lich Queen', 'Tombstone Stairwell', 'Wand of Orcus', 'From Under the Floorboards', 'Cellar Door', 'Invasion of Innistrad // Deluge of the Dead', 'Xathrid Necromancer', 'Necrotic Hex', 'Field of the Dead', 'Lair of the Ashen Idol', 'Necromaster Dragon', ""Liliana's Devotee"", 'Liliana, Heretical Healer // Liliana, Defiant Necromancer', 'Null Caller', 'Syphon Flesh', ""Liliana's Mastery"", 'Sarcomancy', 'Zombie Infestation', 'Never // Return', 'Overseer of the Damned', 'Skull Skaab', 'Dunes of the Dead', 'Moan of the Unhallowed', 'Unscythe, Killer of Kings', 'Graf Harvest', 'Headless Rider', ""Necromancer's Stockpile"", 'Curse of Shallow Graves', 'Maalfeld Twins', 'Rotlung Reanimator', 'Kalitas, Traitor of Ghet', 'Tobias, Doomed Conqueror', 'Magus of the Bridge', 'Wakedancer', 'Havengul Runebinder', 'Suspicious Shambler', 'Noosegraf Mob', 'Grave Titan', 'Dark Salvation', 'Death Tyrant', 'Captive Audience', 'The Book of Vile Darkness', 'Diregraf Colossus']}","Waste Not, Awaken the Erstwhile, Empty the Pits, Wight, Gisa's Bidding, Oath of Liliana, Ghoulcaller Gisa, Bridge from Below, Shamble Back, Doomed Dissenter, The Fourth Sphere, Ghoulcaller's Accomplice, Cryptbreaker, Drana's Chosen, Rakshasa Gravecaller, Tymaret Calls the Dead, Graveyard Marshal, Open the Graves, Dying to Serve, Acererak the Archlich, Cradle of the Accursed, Undead Alchemist, Midnight Ritual, Rise from the Tides, Bone Miser, Nevinyrral, Urborg Tyrant, Sidisi, Brood Tyrant, Archdemon of Unx, Feast or Famine, Hour of Promise, Rank Officer, Stir the Sands, Undead Servant, Liliana, Dreadhorde General, Dread Summons, Boneclad Necromancer, Liliana, the Last Hope, Vile Rebirth, Endless Ranks of the Dead, Curse of Disturbance, Tormod, the Desecrator, Cemetery Reaper, Army of the Damned, Liliana, Death's Majesty, Aphemia, the Cacophony, Drunau Corpse Trawler, Oglor, Devoted Assistant, Assemble the Rank and Vile, Grixis Slavedriver, Necromancer's Covenant, Necromentia, Reap the Seagraf, Liliana's Reaver, Varina, Lich Queen, Tombstone Stairwell, Wand of Orcus, From Under the Floorboards, Cellar Door, Invasion of Innistrad // Deluge of the Dead, Xathrid Necromancer, Necrotic Hex, Field of the Dead, Lair of the Ashen Idol, Necromaster Dragon, Liliana's Devotee, Liliana, Heretical Healer // Liliana, Defiant Necromancer, Null Caller, Syphon Flesh, Liliana's Mastery, Sarcomancy, Zombie Infestation, Never // Return, Overseer of the Damned, Skull Skaab, Dunes of the Dead, Moan of the Unhallowed, Unscythe, Killer of Kings, Graf Harvest, Headless Rider, Necromancer's Stockpile, Curse of Shallow Graves, Maalfeld Twins, Rotlung Reanimator, Kalitas, Traitor of Ghet, Tobias, Doomed Conqueror, Magus of the Bridge, Wakedancer, Havengul Runebinder, Suspicious Shambler, Noosegraf Mob, Grave Titan, Dark Salvation, Death Tyrant, Captive Audience, The Book of Vile Darkness, Diregraf Colossus","","TC16","","","Zombie","","","2","Token Creature — Zombie","Token, Creature","ca1669d1-e134-5af3-acab-9d3be4fa71af",""
"Wayne Reynolds","afc47cec-3ccc-404e-a8c6-4d83dd504271","","paper","","black","R","R",NA,"","nonfoil","","",2015,0,1,NA,NA,NA,NA,NA,"","English","token","Goblin","12","","","","","1","setpromo","{'reverseRelated': ['Goblin Spymaster']}","Goblin Spymaster","","TC16","","","Goblin","","Creatures you control attack each combat if able.","1","Token Creature — Goblin","Token, Creature","f331e3c2-5083-5f0a-8ba1-77718fe905a4",""
"Paul Bonner","db74e463-9c78-4f45-80a9-efa5cc4f9841","","paper","","black","R","R",NA,"","nonfoil","","",2015,0,1,NA,NA,NA,1,NA,"","English","token","Ogre","13","","","","","3","setpromo","{'reverseRelated': ['Kazuul, Tyrant of the Cliffs']}","Kazuul, Tyrant of the Cliffs","","TC16","","","Ogre","","","3","Token Creature — Ogre","Token, Creature","4f90474a-d3c2-5f4d-95e8-94b1715d825a",""
"Jesper Ejsing","a5f8354a-8b51-4e59-96b2-0e3aeae4fa1d","","paper","","black","G","G",NA,"","nonfoil","","",2015,0,1,NA,NA,NA,1,NA,"","English","token","Beast","14","","","","","3","setpromo","{'reverseRelated': ['Druid of Horns', 'Thragtusk', 'Garruk Wildspeaker', 'Pulse of the Tangle', 'Garruk, Primal Hunter', 'Wild Endeavor', 'Feral Incarnation', 'Garruk, Unleashed', 'Elder Gargaroth', 'Fresh Meat', 'Savage Conception', 'Radagast, Wizard of Wilds', ""Vivien, Monsters' Advocate"", 'Trumpeting Gnarr', 'Beast Within', 'Sawtusk Demolisher', 'Soul of Zendikar', 'Midsummer Revel', 'Somberwald Beastmaster', 'Herd Migration', 'Curious Herd', 'Bringer of the Green Dawn', 'Primeval Bounty']}","Druid of Horns, Thragtusk, Garruk Wildspeaker, Pulse of the Tangle, Garruk, Primal Hunter, Wild Endeavor, Feral Incarnation, Garruk, Unleashed, Elder Gargaroth, Fresh Meat, Savage Conception, Radagast, Wizard of Wilds, Vivien, Monsters' Advocate, Trumpeting Gnarr, Beast Within, Sawtusk Demolisher, Soul of Zendikar, Midsummer Revel, Somberwald Beastmaster, Herd Migration, Curious Herd, Bringer of the Green Dawn, Primeval Bounty","","TC16","","","Beast","","","3","Token Creature — Beast","Token, Creature","c398444a-a302-550f-8b8a-16f964fe1ca5",""
